Time,Illumination
0.00,77
0.05,77
0.10,77
0.15,77
0.20,77
0.25,77
0.30,77
0.35,77
0.40,77
0.45,77
0.50,77
0.55,77
0.60,77
0.65,77
0.70,77
0.75,77
0.80,77
0.85,77
0.90,77
0.95,77
1.00,77
1.05,77
1.10,77
1.15,77
1.20,77
1.25,77
1.30,77
1.35,77
1.40,77
1.45,77
1.50,77
1.55,77
1.60,77
1.65,77
1.70,77
1.75,77
1.80,77
1.85,77
1.90,77
1.95,77
2.00,77
2.05,77
2.10,77
2.15,77
2.20,77
2.25,77
2.30,77
2.35,77
2.40,77
2.45,77
2.50,77
2.55,77
2.60,77
2.65,76
2.70,76
2.75,76
2.80,76
2.85,76
2.90,76
2.95,76
3.00,77
3.05,77
3.10,77
3.15,77
3.20,76
3.25,76
3.30,76
3.35,76
3.40,76
3.45,76
3.50,76
3.55,76
3.60,76
3.65,76
3.70,76
3.75,76
3.80,76
3.85,76
3.90,76
3.95,76
4.00,76
4.05,76
4.10,76
4.15,76
4.20,76
4.25,76
4.30,76
4.35,76
4.40,76
4.45,76
4.50,76
4.55,76
4.60,76
4.65,76
4.70,76
4.75,76
4.80,76
4.85,76
4.90,76
4.95,76
5.00,76
5.05,76
5.10,76
5.15,76
5.20,77
5.25,76
5.30,76
5.35,76
5.40,76
5.45,76
5.50,76
5.55,77
5.60,77
5.65,77
5.70,77
5.75,77
5.80,77
5.85,76
5.90,76
5.95,76
6.00,77
6.05,77
6.10,77
6.15,77
6.20,77
6.25,77
6.30,77
6.35,76
6.40,76
6.45,76
6.50,77
6.55,77
6.60,77
6.65,77
6.70,77
6.75,77
6.80,77
6.85,76
6.90,76
6.95,76
7.00,76
7.05,77
7.10,77
7.15,77
7.20,77
7.25,77
7.30,77
7.35,77
7.40,76
7.45,76
7.50,77
7.55,77
7.60,77
7.65,77
7.70,77
7.75,77
7.80,77
7.85,77
7.90,76
7.95,76
8.00,76
8.05,77
8.10,77
8.15,77
8.20,77
8.25,77
8.30,77
8.35,77
8.40,77
8.45,77
8.50,77
8.55,77
8.60,77
8.65,77
8.70,77
8.75,77
8.80,77
8.85,77
8.90,77
8.95,77
9.00,77
9.05,76
9.10,75
9.15,75
9.20,75
9.25,74
9.30,72
9.35,71
9.40,70
9.45,69
9.50,68
9.55,68
9.60,67
9.65,67
9.70,67
9.75,67
9.80,67
9.85,67
9.90,67
9.95,67
10.00,67
10.05,67
10.10,67
10.15,67
10.20,68
10.25,68
10.30,69
10.35,70
10.40,70
10.45,71
10.50,72
10.55,74
10.60,74
10.65,75
10.70,75
10.75,76
10.80,76
10.85,76
10.90,76
10.95,76
11.00,76
11.05,76
11.10,76
11.15,76
11.20,76
11.25,76
11.30,76
11.35,76
11.40,76
11.45,76
11.50,76
11.55,76
11.60,76
11.65,76
11.70,76
11.75,76
11.80,76
11.85,77
11.90,76
11.95,76
12.00,76
12.05,76
12.10,76
12.15,76
12.20,76
12.25,76
12.30,76
12.35,76
12.40,76
12.45,76
12.50,76
12.55,76
12.60,76
12.65,76
12.70,76
12.75,76
12.80,76
12.85,76
12.90,76
12.95,76
13.00,76
13.05,76
13.10,76
13.15,76
13.20,76
13.25,76
13.30,76
13.35,76
13.40,76
13.45,76
13.50,76
13.55,76
13.60,76
13.65,76
13.70,76
13.75,76
13.80,76
13.85,76
13.90,76
13.95,76
14.00,76
14.05,76
14.10,76
14.15,76
14.20,76
14.25,76
14.30,76
14.35,76
14.40,76
14.45,76
14.50,76
14.55,76
14.60,76
14.65,76
14.70,76
14.75,76
14.80,76
14.85,76
14.90,76
14.95,76
15.00,76
15.05,76
15.10,76
15.15,76
15.20,76
15.25,76
15.30,76
15.35,76
15.40,76
15.45,75
15.50,76
15.55,76
15.60,76
15.65,76
15.70,76
15.75,76
15.80,76
15.85,76
15.90,76
15.95,76
16.00,75
16.05,75
16.10,76
16.15,76
16.20,76
16.25,76
16.30,76
16.35,76
16.40,76
16.45,76
16.50,76
16.55,76
16.60,76
16.65,76
16.70,76
16.75,76
16.80,76
16.85,76
16.90,76
16.95,76
17.00,76
17.05,76
17.10,76
17.15,76
17.20,76
17.25,76
17.30,76
17.35,76
17.40,76
17.45,76
17.50,76
17.55,76
17.60,76
17.65,76
17.70,76
17.75,76
17.80,76
17.85,76
17.90,76
17.95,76
18.00,76
18.05,76
18.10,76
18.15,76
18.20,76
18.25,76
18.30,76
18.35,76
18.40,76
18.45,76
18.50,76
18.55,76
18.60,76
18.65,76
18.70,76
18.75,76
18.80,76
18.85,76
18.90,76
18.95,76
19.00,76
19.05,76
19.10,76
19.15,76
19.20,76
19.25,76
19.30,76
19.35,76
19.40,76
19.45,76
19.50,76
19.55,76
19.60,76
19.65,76
19.70,76
19.75,76
19.80,76
19.85,76
19.90,76
19.95,76
20.00,76
20.05,76
20.10,77
20.15,76
20.20,76
20.25,76
20.30,76
20.35,76
20.40,76
20.45,76
20.50,76
20.55,76
20.60,77
20.65,77
20.70,76
20.75,77
20.80,76
20.85,76
20.90,76
20.95,76
21.00,75
21.05,74
21.10,73
21.15,72
21.20,71
21.25,70
21.30,69
21.35,68
21.40,68
21.45,67
21.50,67
21.55,67
21.60,67
21.65,67
21.70,67
21.75,67
21.80,67
21.85,67
21.90,68
21.95,68
22.00,68
22.05,68
22.10,69
22.15,70
22.20,70
22.25,71
22.30,72
22.35,73
22.40,74
22.45,75
